Source,Target,Type,Id,Label,Weight,batchname
weihhuan,wangxm,Directed,9001,,1,wangxm_2
weijingguanghao,ooof,Directed,9002,,1,ooof_2
weilaizhanshi,wangxm,Directed,9003,,1,wangxm_2
weiminchina,wangxm,Directed,9004,,1,wangxm_2
weinacy,wuzhiwo,Directed,9005,,1,wuzhiwo_2
weinisidelei,ooof,Directed,9006,,1,ooof_2
weiwenwu71,ooof,Directed,9008,,1,ooof_2
weiyisean,ooof,Directed,9009,,1,ooof_2
weizhanyun,waffler22,Directed,9010,,1,waffler22_2
weizhili,ooof,Directed,9011,,1,ooof_2
wellsbretter,wuzhiwo,Directed,9012,,1,wuzhiwo_2
wellsparkson,ooof,Directed,9013,,1,ooof_2
wenabb,ooof,Directed,9014,,1,ooof_2
wendaofuren,ooof,Directed,9016,,1,ooof_2
wenli,ooof,Directed,9017,,1,ooof_2
wenmiaodeng,wangxm,Directed,9018,,1,wangxm_2
wenqiang01,waffler22,Directed,9019,,1,waffler22_2
wenqiang01,wuzhiwo,Directed,9020,,1,wuzhiwo_2
wenshiyi,ooof,Directed,9021,,1,ooof_2
wenshiyi,wuzhiwo,Directed,9022,,1,wuzhiwo_2
wentian0726,ooof,Directed,9023,,1,ooof_2
werwer3476,wangxm,Directed,9026,,1,wangxm_2
wfwt,ooof,Directed,9027,,1,ooof_2
whatheart,ooof,Directed,9029,,1,ooof_2
what_why_ho,ooof,Directed,9030,,1,ooof_2
whendo,ooof,Directed,9031,,1,ooof_2
whereissheena,ooof,Directed,9032,,1,ooof_2
whoisemo,wuzhiwo,Directed,9033,,1,wuzhiwo_2
whoknows2000,ooof,Directed,9034,,1,ooof_2
whunmr,ooof,Directed,9035,,1,ooof_2
why818,ooof,Directed,9036,,1,ooof_2
whybeta,ooof,Directed,9037,,1,ooof_2
wikicn,ooof,Directed,9038,,1,ooof_2
wilburding,ooof,Directed,9039,,1,ooof_2
willychen3,ooof,Directed,9040,,1,ooof_2
windsguideme,ooof,Directed,9041,,1,ooof_2
windychanel,waffler22,Directed,9042,,1,waffler22_2
winter20092010,ooof,Directed,9044,,1,ooof_2
winter20092010,wangxm,Directed,9045,,1,wangxm_2
witchsybil,ooof,Directed,9049,,1,ooof_2
wjfkkk,waffler22,Directed,9051,,1,waffler22_2
wjiabao,ooof,Directed,9052,,1,ooof_2
wlcasper,waffler22,Directed,9053,,1,waffler22_2
wlh8964,wangxm,Directed,9054,,1,wangxm_2
wljoke,ooof,Directed,9055,,1,ooof_2
wltwit,waffler22,Directed,9057,,1,waffler22_2
wltwit,ooof,Directed,9056,,1,ooof_2
wlxzwmy,ooof,Directed,9058,,1,ooof_2
wl_99888,waffler22,Directed,9059,,1,waffler22_2
wmxue,waffler22,Directed,9060,,1,waffler22_2
wmz718,ooof,Directed,9061,,1,ooof_2
woaibob,waffler22,Directed,9062,,1,waffler22_2
woailixiaolong,ooof,Directed,9063,,1,ooof_2
woaizhangfacai,waffler22,Directed,9064,,1,waffler22_2
woaizhenli,wuzhiwo,Directed,9065,,1,wuzhiwo_2
wocaca66,waffler22,Directed,9066,,1,waffler22_2
wodeshen123,wangxm,Directed,9067,,1,wangxm_2
woguo,ooof,Directed,9068,,1,ooof_2
